날짜,종가,시가,고가,저가,거래량,변동 %
2026-07-08,"1,510.64","1,513.84","1,521.81","1,506.71",,-0.31%
2026-07-07,"1,515.32","1,513.84","1,532.05","1,510.20",,-0.89%
2026-07-06,"1,528.99","1,527.70","1,537.65","1,526.35",,-0.02%
2026-07-03,"1,529.30","1,539.86","1,548.75","1,525.62",,-0.70%
2026-07-02,"1,540.12","1,550.55","1,556.85","1,536.49",,-0.69%
2026-07-01,"1,550.85","1,547.38","1,559.89","1,545.03",,0.21%
2026-06-30,"1,547.53","1,540.72","1,555.20","1,540.18",,0.43%
2026-06-29,"1,540.95","1,535.15","1,546.70","1,534.74",,0.38%
2026-06-26,"1,535.13","1,545.03","1,550.02","1,531.55",,-0.63%
2026-06-25,"1,544.86","1,542.36","1,549.23","1,536.00",,0.15%
2026-06-24,"1,542.50","1,532.74","1,549.54","1,530.07",,0.64%
2026-06-23,"1,532.72","1,538.68","1,542.20","1,530.95",,-0.36%
2026-06-22,"1,538.21","1,531.35","1,541.74","1,527.78",,0.52%
2026-06-19,"1,530.19","1,538.36","1,540.06","1,524.60",,-0.55%
2026-06-18,"1,538.60","1,527.66","1,543.69","1,519.18",,0.72%
2026-06-17,"1,527.63","1,509.22","1,530.42","1,508.38",,1.21%
2026-06-16,"1,509.32","1,513.55","1,517.90","1,505.37",,-0.28%
2026-06-15,"1,513.55","1,518.24","1,518.71","1,503.63",,-0.29%
2026-06-12,"1,518.02","1,516.19","1,524.41","1,514.24",,0.12%
2026-06-11,"1,516.24","1,523.28","1,534.69","1,515.29",,-0.44%
2026-06-10,"1,522.94","1,523.06","1,528.70","1,514.00",,-0.02%
2026-06-09,"1,523.23","1,526.92","1,535.20","1,509.26",,-0.24%
2026-06-08,"1,526.96","1,559.26","1,559.58","1,525.19",,-2.08%
2026-06-05,"1,559.36","1,532.69","1,562.47","1,531.97",,1.77%
2026-06-04,"1,532.23","1,534.52","1,541.00","1,521.75",,-0.17%
2026-06-03,"1,534.83","1,517.43","1,536.86","1,515.27",,1.17%
2026-06-02,"1,517.14","1,513.88","1,520.85","1,509.00",,0.23%
2026-06-01,"1,513.67","1,504.62","1,518.30","1,500.15",,0.41%
2026-05-29,"1,507.42","1,496.30","1,510.90","1,492.50",,0.75%
2026-05-28,"1,496.18","1,502.00","1,510.95","1,492.75",,-0.39%
2026-05-27,"1,502.07","1,507.29","1,509.68","1,493.25",,-0.33%
2026-05-26,"1,507.11","1,511.97","1,518.79","1,500.37",,-0.36%
2026-05-25,"1,512.49","1,520.35","1,521.21","1,506.09",,-0.52%
2026-05-22,"1,520.35","1,504.11","1,521.19","1,503.03",,1.09%
2026-05-21,"1,503.99","1,497.55","1,513.67","1,496.46",,0.41%
2026-05-20,"1,497.78","1,507.74","1,513.55","1,491.99",,-0.67%
2026-05-19,"1,507.91","1,489.39","1,513.90","1,488.04",,1.24%
2026-05-18,"1,489.42","1,497.91","1,507.02","1,488.72",,-0.56%
2026-05-15,"1,497.88","1,493.69","1,507.90","1,491.49",,0.31%
2026-05-14,"1,493.32","1,489.95","1,495.65","1,488.06",,0.24%
2026-05-13,"1,489.80","1,493.57","1,499.95","1,485.91",,-0.25%
2026-05-12,"1,493.46","1,474.68","1,494.90","1,472.30",,1.30%
2026-05-11,"1,474.32","1,461.95","1,476.82","1,461.51",,0.86%
2026-05-08,"1,461.80","1,458.68","1,471.85","1,453.75",,0.22%
2026-05-07,"1,458.64","1,448.63","1,459.34","1,444.87",,0.90%
2026-05-06,"1,445.57","1,471.14","1,475.11","1,438.83",,-1.62%
2026-05-05,"1,469.37","1,476.01","1,478.63","1,466.98",,-0.47%
2026-05-04,"1,476.31","1,472.70","1,479.24","1,462.88",,0.34%
2026-05-01,"1,471.32","1,473.21","1,477.18","1,467.90",,-0.19%
2026-04-30,"1,474.05","1,488.54","1,489.13","1,471.31",,-0.98%
2026-04-29,"1,488.61","1,472.93","1,493.08","1,471.40",,1.07%
2026-04-28,"1,472.81","1,474.40","1,479.04","1,471.17",,-0.07%
2026-04-27,"1,473.80","1,476.42","1,478.18","1,468.87",,-0.19%
2026-04-24,"1,476.67","1,482.36","1,486.45","1,474.67",,-0.34%
2026-04-23,"1,481.64","1,478.72","1,486.80","1,475.91",,0.20%
2026-04-22,"1,478.73","1,481.47","1,486.98","1,473.88",,-0.33%
2026-04-21,"1,483.64","1,472.27","1,485.74","1,467.11",,0.78%
2026-04-20,"1,472.13","1,466.47","1,479.71","1,464.57",,0.34%
2026-04-17,"1,467.11","1,479.55","1,486.00","1,454.20",,-0.84%
2026-04-16,"1,479.59","1,475.13","1,481.36","1,466.10",,0.30%
2026-04-15,"1,475.18","1,472.88","1,479.63","1,470.14",,0.18%
2026-04-14,"1,472.47","1,479.14","1,485.70","1,468.34",,-0.46%
2026-04-13,"1,479.21","1,483.25","1,499.85","1,476.51",,-0.38%
2026-04-10,"1,484.91","1,474.37","1,488.40","1,470.63",,0.70%
2026-04-09,"1,474.57","1,478.54","1,484.86","1,470.58",,-0.27%
2026-04-08,"1,478.61","1,496.98","1,503.07","1,469.53",,-1.21%
2026-04-07,"1,496.65","1,508.84","1,512.85","1,494.53",,-0.82%
2026-04-06,"1,508.95","1,510.74","1,512.60","1,498.75",,-0.13%
2026-04-03,"1,510.86","1,510.24","1,512.45","1,503.80",,0.04%
2026-04-02,"1,510.24","1,515.48","1,524.05","1,506.54",,-0.18%
2026-04-01,"1,513.01","1,506.10","1,516.82","1,496.32",,0.41%
